URL,Profundidad_Actual,Trafico_Mensual,Prioridad,Pagina_Desde_Enlazar,Accion_Recomendada
/villas/san-antonio/villa-sol-naciente-2024,0,127,Alta,/villas/san-antonio/,Añadir en listado de villas disponibles
/blog/consejos/mejor-epoca-alquilar-villa-ibiza,0,523,Muy Alta,/blog/ y /villas/,Enlazar desde artículos relacionados + sidebar
/zonas/cala-conta/caracteristicas-playa,0,342,Alta,/zonas/cala-conta/,Añadir en guía de zona principal
/villas/santa-eulalia/villa-mar-azul/tour-virtual-360,0,198,Media,/villas/santa-eulalia/villa-mar-azul/,Añadir botón "Tour Virtual" en ficha
/blog/eventos/fiestas-ibiza-2025/calendario-mensual,5,287,Alta,/blog/eventos/,Reducir profundidad enlazando desde categoría eventos
/villas/ibiza-centro/villa-moderna-piscina/plano-distribucion,0,89,Media,/villas/ibiza-centro/villa-moderna-piscina/,Añadir tab "Plano" en ficha
/zonas/es-vedra/restaurantes-recomendados,4,456,Muy Alta,/zonas/es-vedra/,Enlazar desde guía principal de zona
/blog/guias-viaje/ibiza-con-ninos/actividades-familiares,5,523,Muy Alta,/blog/guias-viaje/ibiza-con-ninos/,Añadir en índice del artículo principal
/villas/compra/san-jose/villa-proyecto-nuevo,0,234,Alta,/villas/compra/san-jose/,Incluir en listado de propiedades en venta
/blog/consejos/documentacion-alquiler-villa,0,412,Muy Alta,/blog/ y /faq/,Enlazar desde FAQ y blog principal
