Query_Objetivo,Volumen_Mensual,Dificultad,Posicion_Actual,Snippet_Actual,Competidor_Snippet,Tipo_Snippet,Oportunidad,Accion_Recomendada,Prioridad,CTR_Ganancia_Estimada,Notas
"cuánto cuesta alquilar una villa en ibiza",680,Media,#4,Sí,booking.com,Párrafo,Muy Alta,"Crear respuesta directa primeros 50 palabras con rango €€€ + tabla 3 temporadas",Crítica,+35-50%,"Snippet actual muestra rango genérico - oportunidad mostrar desglose detallado"
"mejores zonas para alquilar villa en ibiza",450,Media,#6,Sí,timeout.com,Lista numerada,Alta,"Crear lista top 5 zonas con descripción 40 palabras cada una + mapa",Muy Alta,+28-42%,"Lista actual solo 3 zonas - ampliar a 5 con características específicas"
"qué incluye el alquiler de una villa en ibiza",380,Baja,#3,Sí,airbnb.com,Lista bullets,Muy Alta,"Lista bullets 10-12 items incluidos + tabla comparativa básico vs premium",Crítica,+40-58%,"Query de objeciones - snippet = transparencia = más conversiones"
"diferencia entre villa y finca en ibiza",210,Baja,#8,Sí,ibiza-spotlight.com,Párrafo,Alta,"Definición clara 60 palabras + tabla comparativa 3 columnas",Alta,+18-30%,"Query informativa - capturar snippet = autoridad educativa"
"cómo reservar una villa en ibiza",280,Baja,#5,Sí,vrbo.com,Lista numerada,Muy Alta,"Guía paso a paso 6 pasos + HowTo Schema + diagrama visual",Muy Alta,+32-48%,"HowTo Schema priorizado - competidor no usa Schema estructurado"
"villas en ibiza con piscina privada",820,Alta,#7,Sí,luxury-retreats.com,Párrafo + Imágenes,Crítica,"Respuesta + galería 8 fotos + filtro específico piscina infinita/climatizada",Crítica,+25-38%,"Alto volumen - competencia fuerte pero snippet actual sin filtros específicos"
"requisitos para alquilar una villa en ibiza",195,Baja,#4,Sí,idealista.com,Lista bullets,Alta,"Lista requisitos 8 items + Checklist descargable PDF + FAQ Schema",Alta,+30-45%,"Snippet actual incompleto - oportunidad guía exhaustiva"
"mejor época para alquilar villa en ibiza",340,Media,#9,Sí,spain.info,Tabla,Alta,"Tabla 12 meses con temperatura/precio/ocupación + recomendación clara",Muy Alta,+22-35%,"Tabla actual solo precios - añadir temperatura y ocupación = más valor"
"villas en ibiza para familias",380,Media,#6,Sí,tripadvisor.com,Lista + Ratings,Alta,"Top 5 villas family-friendly + criterios (seguridad/amenidades niños)",Alta,+28-40%,"Nicho específico - snippet debe destacar amenidades niños explícitamente"
"qué servicios adicionales ofrecen las villas",165,Baja,#5,Sí,homeaway.com,Lista bullets,Media,"Lista 12 servicios con pricing + paquetes + tabla add-ons",Alta,+25-38%,"Upsell opportunity - snippet debe incluir precios para conversión directa"
"política de cancelación villas ibiza",220,Baja,#7,Sí,booking.com,Párrafo,Alta,"Política clara 3 tiers (flexible/moderada/estricta) + tabla comparativa",Crítica,+35-50%,"Query de fricción - snippet transparente reduce abandono checkout"
"villas en ibiza que admiten mascotas",190,Baja,#10,Sí,pet-friendly-ibiza.com,Lista,Media,"Filtro mascotas + 5 villas destacadas + políticas (tamaño/número)",Media,+20-32%,"Nicho específico - baja competencia - fácil capturar snippet"
"distancia villas ibiza aeropuerto",125,Baja,#8,Sí,google-maps,Tabla,Media,"Tabla 8 zonas con distancia/tiempo/transporte + mapa interactivo",Media,+18-28%,"Query logística - tabla debe incluir opciones transporte (taxi/rental/transfer)"
"servicios de chef privado villas ibiza",180,Media,#6,Sí,ibiza-private-chefs.com,Párrafo,Alta,"Descripción servicio + menú ejemplo + pricing 3 tiers + testimonios",Alta,+25-40%,"Alto valor - snippet debe incluir pricing para filtrar leads cualificados"
"villas ibiza con vistas al mar",720,Alta,#5,Sí,luxury-villas-ibiza.com,Galería imágenes,Muy Alta,"Descripción + galería 10 villas + mapa zonas costeras + filtro vista",Crítica,+30-45%,"Alto volumen - snippet visual crítico - competidor usa imágenes genéricas"
