Query_Objetivo,Volumen_Mensual,SGE_Activo,Ibiza_Villa_Presente,Posicion_Citacion,Competidores_Citados,URL_Nuestra,Oportunidad,Accion_Recomendada,Prioridad,Notas
"alquiler villas lujo ibiza",1800,Sí,No,N/A,"ibiza-villas.com, luxury-retreats.com, airbnb.com",N/A,Muy Alta,Crear guía completa + FAQ estructurada + Schema markup,Crítica,"SGE muy activo - 3 competidores citados - Oportunidad inmediata"
"mejores villas ibiza con piscina",720,Sí,No,N/A,"timeout.com, ibiza-spotlight.com",N/A,Alta,Artículo Top 10 villas + Comparativa + Datos estructurados,Muy Alta,"Query informativa ideal para SGE - Necesita contenido educativo"
"alquilar villa ibiza para familia",580,Sí,No,N/A,"booking.com, tripadvisor.com",N/A,Alta,Guía familias + Checklist tamaños + Amenidades niños,Alta,"Nicho específico - Menos competencia en SGE"
"villas ibiza con chef privado",320,Sí,Parcial,#5,"timeout.com, ibiza-villas.com, condé-nast.com, ibiza-villa.com (nosotros)",/servicios-exclusivos,Alta,Ampliar contenido + Video testimonial + Casos de estudio,Alta,"¡Presente en posición #5! - Subir a Top 3 con más contenido experiencial"
"cuánto cuesta alquilar villa ibiza",880,Sí,No,N/A,"ibiza-spotlight.com, holidaylettings.co.uk",N/A,Muy Alta,Guía precios transparente + Calculadora + Desglose temporadas,Crítica,"Query transaccional alta - SGE muestra rangos de precio"
"zonas ibiza para alquilar villa",450,Sí,Parcial,#6,"ibiza-spotlight.com, timeout.com, lonely-planet.com, ibiza-travel.com, ibiza-villa.com",/blog/zonas-ibiza,Media,Ampliar guía zonas + Mapa interactivo + Características cada zona,Alta,"Presente #6 - Competencia fuerte con guías turísticas"
"villas ibiza cerca playa",950,Sí,No,N/A,"booking.com, airbnb.com, homeaway.com",N/A,Muy Alta,Landing específica + Filtro distancia playa + Mapa,Muy Alta,"Alto volumen - Query comercial - Sin presencia actual"
"requisitos alquilar villa ibiza",180,Sí,No,N/A,"ibiza-spotlight.com, spain.info",N/A,Media,Guía legal completa + Checklist documentos + FAQ,Media,"Query informativa - Oportunidad autoridad E-E-A-T"
"diferencia entre villa y finca ibiza",90,Sí,No,N/A,"ibiza-travel-guide.com",N/A,Alta,Artículo educativo + Comparativa visual + Ejemplos,Alta,"Query definitional - Ideal para SGE - Baja competencia"
"villas ibiza eventos corporativos",140,Sí,No,N/A,"eventbrite.es, unique-venues.com",N/A,Alta,Landing eventos + Capacidades + Casos de estudio corporativos,Alta,"Nicho B2B - Sin competencia directa en SGE"
"mejor época alquilar villa ibiza",520,Sí,No,N/A,"timeout.com, ibiza-spotlight.com, kayak.com",N/A,Alta,Guía temporadas + Clima + Eventos + Tabla precios,Alta,"Query planning - SGE activo - Contenido educativo"
"villas ibiza con spa privado",280,No,N/A,N/A,N/A,N/A,Media,Crear contenido + Optimizar para futura activación SGE,Media,"SGE aún no activo - Preparar contenido ahora"
"qué incluye alquiler villa ibiza",240,Sí,No,N/A,"ibiza-villas.com, holiday-rentals.co.uk",N/A,Muy Alta,Página transparencia + Checklist incluido/no incluido + Video,Muy Alta,"Query de consideración - Crítica para conversión"
"villas ibiza mascotas permitidas",190,Sí,No,N/A,"bringfido.com, dogfriendly.com",N/A,Alta,Filtro específico + Guía viajar con mascotas + Políticas,Alta,"Nicho específico - Oportunidad diferenciación"
"cómo reservar villa ibiza",310,Sí,No,N/A,"booking.com, airbnb.com",N/A,Muy Alta,Guía paso a paso + Video proceso + FAQ + Garantías,Crítica,"Query transaccional - Sin presencia = pérdida conversiones directas"
