URL,Keyword_Actual,Posicion,Volumen,Trafico_Mensual,Problema,Keyword_Mejor,Volumen_Mejor,Ganancia_Estimada,Prioridad
/blog/consejos/alquiler-villa/,alquilar villa,28,90,12,Posición baja - volumen limitado,alquiler villas lujo ibiza,880,45-60 sesiones/mes,Alta
/servicios/limpieza/,limpieza villa,34,70,8,Posición muy baja - casi no tráfico,servicio limpieza villas ibiza,210,18-25 sesiones/mes,Media
/villas/rusticas/,villas rusticas ibiza,43,110,6,Fuera de página 1 - sin clics,villas auténticas ibiza,290,28-38 sesiones/mes,Alta
/blog/eventos/fiestas-verano/,fiestas verano ibiza,18,520,78,Keyword genérica - baja conversión,eventos exclusivos ibiza villas,180,52-68 sesiones/mes con mejor conversión,Media
/sobre-nosotros/equipo/,equipo ibiza villa,51,20,2,Keyword sin interés comercial,agencia alquiler villas ibiza,320,22-30 sesiones/mes,Baja
/servicios/transporte/,transporte ibiza,25,290,38,Keyword muy genérica - competencia alta,transfer privado aeropuerto villa,190,48-62 sesiones/mes,Media
/blog/guias/que-hacer/,que hacer ibiza,14,3600,420,Alto volumen pero genérico - conversión 0.5%,actividades exclusivas villas lujo,210,68-88 sesiones/mes con conversión 3%,Alta
/villas/economicas/,villas economicas ibiza,22,180,26,Fuera de target - clientes low-cost,villas precio medio ibiza,145,32-42 sesiones/mes mejor perfil,Baja
/contacto/oficinas/,oficinas ibiza,67,50,1,Keyword irrelevante - sin búsquedas,contacto ibiza villa,90,8-12 sesiones/mes,Baja
/blog/consejos/mejor-zona/,mejor zona ibiza,19,420,58,Keyword informativa - baja conversión,mejores zonas alquilar villa ibiza,380,88-115 sesiones/mes,Alta
/villas/grupos-grandes/,villas grupos ibiza,16,210,45,Posición mejorable - falta especificidad,villas grupos 12-20 personas ibiza,165,58-75 sesiones/mes,Media
/servicios/catering/,catering ibiza,31,380,28,Keyword muy amplia - fuera de nicho,catering eventos villas lujo,95,32-42 sesiones/mes mejor match,Media
