URL,H1_Actual,Veces_Duplicado,Keyword_Objetivo,H1_Recomendado,Prioridad,Trafico_Mensual,Notas
/villas/san-antonio/,Villas en San Antonio,3,villas san antonio ibiza,Villas de Lujo en San Antonio - Ibiza Villa,Alta,234,Duplicado con subcategorías
/villas/san-antonio/primera-linea/,Villas en San Antonio,3,villas primera linea san antonio,Villas de Primera Línea en San Antonio | Ibiza Villa,Alta,156,Mismo H1 que categoría padre
/villas/san-antonio/con-piscina/,Villas en San Antonio,3,villas con piscina san antonio,Villas con Piscina Privada en San Antonio,Media,89,Mismo H1 que categoría padre
/villas/santa-eulalia/,Villas de Lujo,4,villas santa eulalia ibiza,Villas de Lujo en Santa Eulalia - Alquiler Vacacional,Alta,312,Muy genérico - duplicado con otras zonas
/villas/playa-den-bossa/,Villas de Lujo,4,villas playa den bossa,Villas de Lujo en Playa d'en Bossa | Ibiza Villa,Alta,278,Mismo H1 que Santa Eulalia
/villas/talamanca/,Villas de Lujo,4,villas talamanca ibiza,Alquiler de Villas de Lujo en Talamanca,Media,145,Mismo H1 que Santa Eulalia
/villas/cala-conta/,Villas de Lujo,4,villas cala conta,Villas de Lujo con Vistas a Cala Conta,Media,98,Mismo H1 que Santa Eulalia
/servicios/chef-privado/,Servicios Premium,2,chef privado ibiza villa,Chef Privado para tu Villa en Ibiza,Media,67,Duplicado con otros servicios
/servicios/masajes/,Servicios Premium,2,masajes domicilio ibiza,Masajes y Spa a Domicilio en tu Villa,Baja,34,Duplicado con otros servicios
/blog/guias/mejores-playas/,Guía Completa,3,mejores playas ibiza,Las Mejores Playas de Ibiza: Guía Completa 2024,Alta,523,Duplicado con otras guías
/blog/guias/restaurantes/,Guía Completa,3,mejores restaurantes ibiza,Los Mejores Restaurantes de Ibiza: Guía 2024,Media,289,Duplicado con otras guías
/blog/guias/vida-nocturna/,Guía Completa,3,vida nocturna ibiza,Vida Nocturna en Ibiza: Guía de Discotecas y Clubs,Media,412,Duplicado con otras guías
