URL_Pagina,URL_Imagen,Tipo_Imagen,Alt_Recomendado,Prioridad,Contexto
/villas/villa-sunset/,/images/villas/sunset-exterior.jpg,Principal,Villa Sunset Ibiza - Vista exterior con piscina infinita y atardecer,Muy Alta,Imagen hero de propiedad premium
/villas/villa-sunset/,/images/villas/sunset-piscina.jpg,Galería,Piscina infinita de Villa Sunset con vistas al mar Mediterráneo,Alta,Galería de propiedad
/villas/villa-sunset/,/images/villas/sunset-salon.jpg,Galería,Salón amplio de Villa Sunset con grandes ventanales y decoración moderna,Alta,Galería de propiedad
/blog/mejores-playas-ibiza/,/images/blog/cala-comte.jpg,Contenido,Cala Comte - Una de las mejores playas de Ibiza para familias,Muy Alta,Artículo con alto tráfico
/blog/mejores-playas-ibiza/,/images/blog/playa-ses-salines.jpg,Contenido,Playa de Ses Salines - Aguas cristalinas y arena blanca en Ibiza,Alta,Artículo con alto tráfico
/zonas/santa-eulalia/,/images/zonas/santa-eulalia-puerto.jpg,Hero,Puerto deportivo de Santa Eulalia - Zona tranquila de Ibiza,Muy Alta,Imagen principal de guía
/villas/ibiza-centro/villa-moderna/,/images/villas/moderna-fachada.jpg,Principal,Villa Moderna Ibiza Centro - Arquitectura contemporánea con vistas,Alta,Ficha de propiedad
/,/images/home/hero-villa-lujo.jpg,Hero,Alquiler de villas de lujo en Ibiza - Propiedades exclusivas con piscina,Crítica,Homepage principal
/,/images/home/featured-1.jpg,Destacado,Villa de lujo en primera línea de mar - Alquiler Ibiza,Crítica,Propiedad destacada home
/servicios/,/images/servicios/gestion.jpg,Contenido,Servicios de gestión integral de propiedades en Ibiza,Media,Página de servicios
