URL,Title_Actual,Caracteres_Actual,Keyword_Objetivo,Title_Optimizado,Caracteres_Nuevo,Problema,Prioridad,CTR_Actual,CTR_Estimado,Trafico_Mensual
/,Ibiza Villa,11,alquiler villas lujo ibiza,Alquiler de Villas de Lujo en Ibiza | +150 Villas Premium | Ibiza Villa,73,Demasiado corto - no incluye keywords,Muy Alta,1.2%,4.5%,1245
/villas/,Villas,6,villas lujo ibiza alquiler,Villas de Lujo en Ibiza: Alquiler con Piscina y Vistas al Mar | Ibiza Villa,78,Extremadamente corto - no descriptivo,Muy Alta,0.8%,4.2%,892
/villas/villa-sunset/,Villa Sunset - Ibiza Villa,25,villa lujo san antonio 8 personas,Villa Sunset: Lujo en San Antonio para 8 Personas con Piscina Infinity,73,Falta información clave (capacidad),Alta,2.1%,3.8%,67
/villas/villa-paradise/,Villa Paradise - Ibiza Villa,28,villa primera linea santa eulalia,Villa Paradise: Primera Línea en Santa Eulalia | 10 Personas | Ibiza Villa,78,Falta ubicación específica,Alta,2.3%,3.9%,89
/servicios/chef-privado/,Chef Privado - Ibiza Villa - Servicios Premium para tu Villa en Ibiza,76,chef privado villas ibiza,Chef Privado para tu Villa en Ibiza | Menú Gourmet Personalizado,68,Demasiado largo - se corta en SERPs,Media,1.7%,3.1%,67
/servicios/masajes/,Masajes y Spa - Ibiza Villa - Los mejores servicios wellness a domicilio,81,masajes domicilio ibiza villa,Masajes y Spa a Domicilio en tu Villa | Relajación Total en Ibiza,70,Demasiado largo - se corta en SERPs,Media,1.4%,2.9%,34
/blog/guias/mejores-playas/,Las Mejores Playas de Ibiza,29,mejores playas ibiza 2024,Las 15 Mejores Playas de Ibiza 2024: Guía Completa con Mapa,63,Falta año - no actual,Alta,3.2%,4.5%,523
/blog/guias/restaurantes/,Restaurantes en Ibiza,21,mejores restaurantes ibiza,Los 20 Mejores Restaurantes de Ibiza 2024: Guía Gastronómica,66,Demasiado corto - poco descriptivo,Media,2.8%,4.0%,289
/blog/consejos/mejor-epoca/,Mejor Época para Visitar Ibiza,33,mejor epoca viajar ibiza,¿Cuándo Viajar a Ibiza? Mejor Época, Clima y Precios 2024,62,Falta información útil (clima/precios),Media,2.1%,3.5%,234
/sobre-nosotros/,Sobre Nosotros - Ibiza Villa,28,agencia alquiler villas ibiza experiencia,Sobre Ibiza Villa: 14 Años de Experiencia en Villas de Lujo,61,Poco atractivo - falta diferenciación,Baja,1.1%,2.5%,78
/contacto/,Contacto - Ibiza Villa,22,contacto ibiza villa whatsapp,Contacto Ibiza Villa: WhatsApp 24/7 | Respuesta en 2 Horas,64,Poco atractivo - falta CTA,Media,0.9%,2.3%,156
/villas/san-antonio/,San Antonio - Villas - Ibiza Villa,36,villas san antonio ibiza alquiler,Villas en San Antonio: 34 Opciones de Lujo con Atardecer | Ibiza Villa,73,Orden keywords no natural,Alta,1.8%,3.6%,234
/villas/santa-eulalia/,Santa Eulalia - Villas - Ibiza Villa,37,villas santa eulalia ibiza,Villas en Santa Eulalia: 47 Propiedades de Lujo Cerca del Mar,67,Orden keywords no natural,Alta,2.1%,3.7%,312
/villas/playa-den-bossa/,Playa d'en Bossa - Villas - Ibiza Villa,40,villas playa den bossa,Villas en Playa d'en Bossa: 28 Opciones Junto a la Playa,60,Orden keywords no natural,Alta,1.9%,3.5%,278
/blog/guias/vida-nocturna/,Vida Nocturna Ibiza,20,discotecas clubs ibiza mejores,Vida Nocturna en Ibiza: Las 10 Mejores Discotecas y Clubs 2024,68,Demasiado corto - poco específico,Media,2.5%,3.8%,412
