Query_Conversacional,Tipo_Query,Volumen_Mensual,Dificultad,Intent,Cubierta_Actual,URL_Actual,Accion_Recomendada,Prioridad,Trafic_Estimado,Notas
"dónde puedo alquilar una villa con piscina en ibiza",Local + Transaccional,420,Baja,Alta intención reserva,No,N/A,Crear landing específica villas piscina + FAQ Schema,Crítica,65-90 sess/mes,"Query natural voice - Alexa/Google dominante"
"cuánto cuesta alquilar una villa en ibiza para una semana",Informacional + Transaccional,680,Media,Consideración,No,N/A,Guía precios + Calculadora interactiva + Speakable markup,Muy Alta,105-145 sess/mes,"Voice prefiere respuesta directa en rango €€€"
"mejores villas en ibiza para familias con niños",Local + Informacional,380,Media,Investigación,Parcial,/villas-familias,Ampliar contenido + Añadir FAQs + Featured Snippet optimization,Alta,60-85 sess/mes,"Presente pero sin optimización voice específica"
"hay villas en ibiza que admiten mascotas",Informacional,190,Baja,Filtrado,No,N/A,Filtro específico + FAQ + Speakable snippet,Alta,30-42 sess/mes,"Query binaria (sí/no) - ideal para voice"
"qué necesito para alquilar una villa en ibiza",Informacional,280,Baja,Pre-reserva,No,N/A,Guía requisitos + HowTo Schema + Audio-friendly format,Muy Alta,45-62 sess/mes,"HowTo Schema = prioritario para Google Assistant"
"villas cerca de la playa en ibiza",Local + Transaccional,820,Alta,Alta intención,Parcial,/villas-playa,Optimizar para near me + Local Business Schema,Crítica,128-175 sess/mes,"Alto volumen - competencia fuerte OTAs"
"puedo reservar una villa en ibiza para un mes",Transaccional,125,Baja,Estancias largas,No,N/A,Landing long-term rentals + FAQ duración mínima/máxima,Media,20-28 sess/mes,"Nicho específico - menos competencia"
"cuál es la mejor zona de ibiza para alquilar una villa",Informacional,450,Media,Investigación,No,N/A,Guía zonas completa + Mapa + Comparison table,Muy Alta,70-98 sess/mes,"Query decisional - contenido educativo crítico"
"villas en ibiza con servicio de chef privado",Transaccional + Local,210,Media,Servicios premium,Parcial,/servicios-exclusivos,Ampliar servicios + FAQ Schema + Pricing,Alta,33-46 sess/mes,"Mercado lujo - alto valor por conversión"
"cómo llegar a mi villa desde el aeropuerto de ibiza",Informacional,340,Baja,Post-reserva,No,N/A,Guía transporte + Mapa interactivo + Audio instructions,Media,53-74 sess/mes,"Query post-booking - oportunidad content extra"
"qué está incluido en el alquiler de una villa en ibiza",Informacional,380,Baja,Consideración,No,N/A,Página transparencia + Checklist incluido/no incluido + FAQ,Crítica,60-85 sess/mes,"Query de objeciones - crítica para conversión"
"puedo cancelar mi reserva de villa en ibiza",Informacional,220,Baja,Pre-reserva,Parcial,/terminos-condiciones,FAQ visible + Política clara + Examples scenarios,Alta,35-48 sess/mes,"Query de fricción - respuesta clara reduce abandono"
"villas en ibiza para bodas y eventos",Transaccional + Local,180,Media,Eventos,No,N/A,Landing eventos + Capacidades + Casos estudio + FAQ,Alta,28-40 sess/mes,"Nicho corporativo/eventos - alto ticket"
"hay villas de lujo en ibiza disponibles en agosto",Transaccional + Temporal,520,Alta,Alta intención + Urgencia,Parcial,/disponibilidad,Sistema disponibilidad real-time + Quick answers,Muy Alta,81-115 sess/mes,"Temporal query - necesita respuesta inmediata y actualizada"
"qué servicios adicionales ofrecen las villas en ibiza",Informacional,195,Baja,Investigación,Parcial,/servicios-exclusivos,Ampliar servicios + Pricing + Add-ons list + FAQ,Media,31-43 sess/mes,"Upsell opportunity - monetización adicional"
